Date	Price	Open	High	Low	Vol.	Change %	Abs value	 Volatility in $ 	Daily Volatility in %							
"Jul 30, 2020"	"3,248.75"	"3,256.75"	"3,269.00"	"3,195.00"	2.00M	-0.12%	0%	 ? 74.00 	2.27%							
"Jul 29, 2020"	"3,252.50"	"3,215.00"	"3,257.00"	"3,204.25"	1.22M	1.23%	1%	 ? 52.75 	1.64%							
"Jul 28, 2020"	"3,213.00"	"3,235.00"	"3,246.75"	"3,208.00"	1.38M	-0.60%	1%	 ? 38.75 	1.20%							
"Jul 27, 2020"	"3,232.25"	"3,210.75"	"3,235.00"	"3,192.00"	1.30M	0.88%	1%	 ? 43.00 	1.34%							
"Jul 24, 2020"	"3,204.00"	"3,230.00"	"3,239.00"	"3,191.50"	1.76M	-0.73%	1%	 ? 47.50 	1.47%							
"Jul 23, 2020"	"3,227.50"	"3,267.75"	"3,284.50"	"3,214.25"	1.70M	-1.16%	1%	 ? 70.25 	2.15%							
"Jul 22, 2020"	"3,265.50"	"3,249.25"	"3,271.75"	"3,227.25"	1.35M	0.44%	0%	 ? 44.50 	1.37%							
"Jul 21, 2020"	"3,251.25"	"3,243.75"	"3,273.25"	"3,239.25"	1.46M	0.18%	0%	 ? 34.00 	1.05%							
"Jul 20, 2020"	"3,245.25"	"3,214.50"	"3,250.50"	"3,190.25"	1.40M	0.97%	1%	 ? 60.25 	1.87%							
"Jul 17, 2020"	"3,214.00"	"3,198.50"	"3,225.25"	"3,194.75"	1.26M	0.61%	1%	 ? 30.50 	0.95%							
"Jul 16, 2020"	"3,194.50"	"3,223.25"	"3,228.50"	"3,188.50"	1.47M	-0.78%	1%	 ? 40.00 	1.24%							
"Jul 15, 2020"	"3,219.50"	"3,204.00"	"3,233.25"	"3,192.00"	1.94M	1.13%	1%	 ? 41.25 	1.29%							
"Jul 14, 2020"	"3,183.50"	"3,149.75"	"3,192.25"	"3,119.00"	2.26M	1.12%	1%	 ? 73.25 	2.33%							
"Jul 13, 2020"	"3,148.25"	"3,183.50"	"3,226.25"	"3,140.50"	2.07M	-0.95%	1%	 ? 85.75 	2.69%							
"Jul 10, 2020"	"3,178.50"	"3,142.25"	"3,181.25"	"3,111.50"	1.41M	1.19%	1%	 ? 69.75 	2.22%							
"Jul 09, 2020"	"3,141.00"	"3,166.25"	"3,170.75"	"3,105.25"	1.88M	-0.71%	1%	 ? 65.50 	2.07%							
"Jul 08, 2020"	"3,163.50"	"3,135.25"	"3,166.25"	"3,125.50"	1.53M	0.86%	1%	 ? 40.75 	1.30%							
"Jul 07, 2020"	"3,136.50"	"3,170.00"	"3,184.00"	"3,132.50"	1.33M	-1.12%	1%	 ? 51.50 	1.62%							
